OrderID,Date,Year,Month,CustomerID,Product,Quantity,UnitPrice,ShippingAddress,PaymentMethod,OrderStatus,TrackingNumber,ItemsInCart,CouponCode,ReferralSource,TotalPrice
200000,2023-01-04 00:00:00,2023,1,72649,Monitor,5,570.62,928,Debit Card,Shipped,37947903,7,SAVE10,Instagram,2853.1
200001,2024-08-23 00:00:00,2024,8,75739,Phone,2,151.35,823,Online,Shipped,91186779,3,SAVE10,Referral,302.7
200002,2024-02-27 00:00:00,2024,2,81728,Tablet,5,550.68,512,Credit Card,Cancelled,42903982,8,FREESHIP,Email,2753.4
200003,2023-10-15 00:00:00,2023,10,33540,Chair,1,273.19,275,Debit Card,Returned,62788070,5,SAVE10,Facebook,273.19
200004,2025-05-08 00:00:00,2025,5,81840,Printer,4,626.01,668,Online,Delivered,29241424,8,SAVE10,Email,2504.04
200005,2023-10-23 00:00:00,2023,10,37249,Phone,2,245.86,934,Credit Card,Shipped,72976927,4,SAVE10,Instagram,491.72
200006,2025-06-17 00:00:00,2025,6,83492,Laptop,1,664.42,986,Gift Card,Returned,96417362,6,SAVE10,Facebook,664.42
200007,2023-05-12 00:00:00,2023,5,41460,Monitor,5,149.55,706,Cash,Shipped,78809193,9,FREESHIP,Facebook,747.75
200008,2025-04-02 00:00:00,2025,4,26817,Phone,2,134.28,904,Gift Card,Cancelled,61042692,2,No_Coupon,Email,268.56
200009,2023-11-21 00:00:00,2023,11,31946,Desk,4,509.38,102,Credit Card,Shipped,33478363,6,SAVE10,Google,2037.52
200010,2023-12-29 00:00:00,2023,12,43443,Tablet,5,625.97,333,Credit Card,Returned,98859248,9,WINTER15,Instagram,3129.85
200011,2024-02-17 00:00:00,2024,2,93861,Monitor,3,49.14,831,Online,Returned,48234646,7,SAVE10,Email,147.42
200012,2024-10-15 00:00:00,2024,10,38785,Monitor,2,180.5,179,Debit Card,Pending,20419991,6,FREESHIP,Referral,361
200013,2023-08-30 00:00:00,2023,8,88348,Laptop,3,201.49,903,Credit Card,Returned,81913874,4,FREESHIP,Facebook,604.47
200014,2023-03-27 00:00:00,2023,3,98474,Tablet,2,393.33,980,Debit Card,Pending,79186539,3,SAVE10,Instagram,786.66
200015,2023-07-17 00:00:00,2023,7,39416,Printer,1,473.96,942,Cash,Delivered,54930938,3,No_Coupon,Google,473.96
200016,2023-01-24 00:00:00,2023,1,28976,Printer,2,533.81,914,Credit Card,Pending,13194259,3,FREESHIP,Email,1067.62
200017,2024-03-02 00:00:00,2024,3,60672,Tablet,1,423.4,382,Debit Card,Shipped,11972116,3,No_Coupon,Referral,423.4
200018,2025-03-26 00:00:00,2025,3,84329,Desk,1,431.44,891,Gift Card,Pending,65191045,3,SAVE10,Facebook,431.44
200019,2023-01-23 00:00:00,2023,1,14552,Monitor,5,224,273,Cash,Returned,59101365,9,SAVE10,Google,1120
200020,2023-05-08 00:00:00,2023,5,54829,Chair,5,62.51,587,Cash,Pending,16718651,9,WINTER15,Instagram,312.55
200021,2024-11-17 00:00:00,2024,11,99023,Monitor,4,342.95,569,Cash,Delivered,52646983,6,No_Coupon,Google,1371.8
200022,2023-01-29 00:00:00,2023,1,34416,Monitor,2,49.62,633,Online,Pending,75937350,2,SAVE10,Google,99.24
200023,2025-04-09 00:00:00,2025,4,42372,Phone,4,273.25,755,Debit Card,Cancelled,36168083,5,FREESHIP,Referral,1093
200024,2024-10-30 00:00:00,2024,10,17470,Laptop,2,230.95,956,Online,Delivered,28775057,3,WINTER15,Referral,461.9
200025,2024-07-24 00:00:00,2024,7,42577,Monitor,1,399.98,709,Debit Card,Delivered,69423327,3,WINTER15,Email,399.98
200026,2024-03-06 00:00:00,2024,3,21944,Laptop,5,59.55,296,Online,Delivered,80276812,6,No_Coupon,Referral,297.75
200027,2024-02-22 00:00:00,2024,2,97593,Printer,1,472.74,881,Online,Shipped,89117573,6,WINTER15,Google,472.74
200028,2023-11-21 00:00:00,2023,11,59823,Phone,4,160.07,568,Online,Pending,65895539,5,No_Coupon,Email,640.28
200029,2024-09-20 00:00:00,2024,9,33260,Desk,3,423.53,930,Credit Card,Delivered,59744090,6,SAVE10,Referral,1270.59
200030,2025-03-22 00:00:00,2025,3,44267,Monitor,2,426.7,895,Online,Pending,54751444,5,SAVE10,Referral,853.4
200031,2023-06-30 00:00:00,2023,6,26445,Chair,3,500.08,996,Debit Card,Returned,31229981,6,No_Coupon,Facebook,1500.24
200032,2023-05-01 00:00:00,2023,5,12388,Tablet,5,536.72,830,Cash,Delivered,99261395,10,No_Coupon,Email,2683.6
200033,2023-06-05 00:00:00,2023,6,52184,Chair,1,162.77,912,Online,Cancelled,73312471,4,WINTER15,Facebook,162.77
200034,2023-01-07 00:00:00,2023,1,67195,Chair,4,576.52,926,Credit Card,Pending,55467915,5,WINTER15,Facebook,2306.08
200035,2024-12-07 00:00:00,2024,12,50304,Monitor,2,465.15,128,Online,Shipped,46850888,2,SAVE10,Facebook,930.3
200036,2025-05-08 00:00:00,2025,5,59337,Laptop,2,534.43,465,Debit Card,Pending,50961250,5,No_Coupon,Facebook,1068.86
200037,2024-10-14 00:00:00,2024,10,10054,Laptop,2,76.74,409,Cash,Returned,94005261,7,SAVE10,Instagram,153.48
200038,2024-12-19 00:00:00,2024,12,15924,Laptop,1,245.89,549,Debit Card,Delivered,14835975,3,SAVE10,Google,245.89
200039,2025-02-27 00:00:00,2025,2,96664,Printer,3,256.46,666,Credit Card,Delivered,85508960,4,SAVE10,Referral,769.38
200040,2023-08-20 00:00:00,2023,8,84766,Desk,2,344.02,267,Online,Delivered,78967923,4,FREESHIP,Instagram,688.04
200041,2023-12-05 00:00:00,2023,12,20212,Monitor,3,611.45,657,Gift Card,Pending,69733327,4,FREESHIP,Instagram,1834.35
200042,2024-05-06 00:00:00,2024,5,28712,Printer,2,151.66,980,Cash,Cancelled,40772558,6,No_Coupon,Instagram,303.32
200043,2023-12-14 00:00:00,2023,12,60572,Chair,3,499.21,871,Online,Cancelled,20351666,8,No_Coupon,Instagram,1497.63
200044,2025-04-21 00:00:00,2025,4,73225,Phone,2,550.18,996,Gift Card,Returned,73848522,3,FREESHIP,Referral,1100.36
200045,2024-02-10 00:00:00,2024,2,17388,Chair,1,317.25,157,Debit Card,Returned,47077395,1,SAVE10,Facebook,317.25
200046,2024-06-26 00:00:00,2024,6,43212,Monitor,4,550.14,223,Debit Card,Pending,25100762,4,FREESHIP,Instagram,2200.56
200047,2023-07-19 00:00:00,2023,7,38134,Desk,2,209.94,323,Credit Card,Returned,42450754,3,FREESHIP,Email,419.88
200048,2023-08-26 00:00:00,2023,8,12408,Monitor,2,80.77,464,Debit Card,Shipped,38938858,4,No_Coupon,Google,161.54
200049,2023-10-07 00:00:00,2023,10,11985,Printer,1,30.44,633,Credit Card,Shipped,53272402,1,SAVE10,Email,30.44
200050,2023-07-31 00:00:00,2023,7,96494,Tablet,1,179.22,446,Online,Cancelled,14675049,6,FREESHIP,Instagram,179.22
200051,2024-12-30 00:00:00,2024,12,36778,Tablet,1,388.33,434,Cash,Returned,67610289,2,SAVE10,Facebook,388.33
200052,2024-09-08 00:00:00,2024,9,30513,Tablet,1,586.44,232,Online,Returned,64320429,5,SAVE10,Facebook,586.44
200053,2024-05-18 00:00:00,2024,5,67551,Phone,4,488.78,512,Online,Returned,94992552,5,FREESHIP,Google,1955.12
200054,2025-03-27 00:00:00,2025,3,48120,Chair,1,280.25,623,Online,Pending,11014449,5,WINTER15,Email,280.25
200055,2025-06-24 00:00:00,2025,6,95984,Printer,3,344.4,565,Online,Cancelled,67434829,3,No_Coupon,Facebook,1033.2
200056,2023-05-21 00:00:00,2023,5,54298,Tablet,3,479.21,566,Cash,Cancelled,62902341,5,WINTER15,Referral,1437.63
200057,2023-01-22 00:00:00,2023,1,88036,Printer,5,314.27,842,Cash,Returned,52470128,6,SAVE10,Instagram,1571.35
200058,2023-01-15 00:00:00,2023,1,60190,Phone,4,474.69,202,Gift Card,Cancelled,70857868,6,SAVE10,Google,1898.76
200059,2024-09-11 00:00:00,2024,9,97603,Chair,4,593.27,811,Online,Shipped,47055028,5,No_Coupon,Facebook,2373.08
200060,2024-08-21 00:00:00,2024,8,39256,Desk,1,417.1,634,Debit Card,Returned,23412025,3,FREESHIP,Referral,417.1
200061,2024-03-24 00:00:00,2024,3,61618,Desk,4,122.2,104,Cash,Delivered,43458485,7,FREESHIP,Facebook,488.8
200062,2023-08-22 00:00:00,2023,8,36497,Desk,2,43.15,691,Debit Card,Pending,12102911,3,WINTER15,Email,86.3
200063,2025-02-02 00:00:00,2025,2,96695,Chair,1,564.86,813,Debit Card,Shipped,64283851,6,WINTER15,Referral,564.86
200064,2025-06-25 00:00:00,2025,6,49720,Printer,3,130.61,752,Debit Card,Cancelled,55785217,4,FREESHIP,Facebook,391.83
200065,2023-12-30 00:00:00,2023,12,97735,Monitor,5,81.7,385,Credit Card,Delivered,13743703,6,No_Coupon,Instagram,408.5
200066,2024-11-15 00:00:00,2024,11,18104,Chair,5,127.18,715,Cash,Cancelled,15488568,9,SAVE10,Referral,635.9
200067,2024-12-09 00:00:00,2024,12,25587,Printer,4,12.1,440,Debit Card,Cancelled,55105323,8,No_Coupon,Google,48.4
200068,2023-12-11 00:00:00,2023,12,41598,Chair,3,490.92,709,Credit Card,Pending,81665940,5,FREESHIP,Email,1472.76
200069,2023-05-11 00:00:00,2023,5,43338,Monitor,3,478.65,552,Online,Shipped,35241775,4,No_Coupon,Referral,1435.95
200070,2023-05-26 00:00:00,2023,5,25123,Desk,1,629.21,384,Gift Card,Pending,27812282,2,FREESHIP,Instagram,629.21
200071,2025-06-10 00:00:00,2025,6,37454,Monitor,3,434.45,923,Credit Card,Pending,28252730,4,No_Coupon,Referral,1303.35
200072,2024-12-22 00:00:00,2024,12,19451,Tablet,4,589.44,942,Gift Card,Returned,87787793,5,No_Coupon,Facebook,2357.76
200073,2023-05-03 00:00:00,2023,5,17269,Monitor,4,433.45,129,Gift Card,Cancelled,79608389,4,No_Coupon,Facebook,1733.8
200074,2023-06-24 00:00:00,2023,6,25382,Phone,5,90.87,622,Cash,Pending,64691287,5,No_Coupon,Instagram,454.35
200075,2023-09-26 00:00:00,2023,9,80651,Tablet,3,398.17,917,Debit Card,Delivered,14846720,5,SAVE10,Email,1194.51
200076,2024-03-31 00:00:00,2024,3,58638,Laptop,4,382.88,239,Cash,Cancelled,38224871,6,WINTER15,Email,1531.52
200077,2024-05-24 00:00:00,2024,5,50121,Phone,1,583.18,348,Credit Card,Returned,79810059,5,No_Coupon,Google,583.18
200078,2024-08-06 00:00:00,2024,8,32029,Printer,4,175.36,146,Debit Card,Delivered,68535532,4,FREESHIP,Instagram,701.44
200079,2025-03-10 00:00:00,2025,3,76700,Tablet,2,311.91,103,Online,Shipped,13036341,2,No_Coupon,Facebook,623.82
200080,2023-06-27 00:00:00,2023,6,29041,Phone,3,589.56,591,Online,Returned,28840655,6,No_Coupon,Facebook,1768.68
200081,2023-06-08 00:00:00,2023,6,29314,Monitor,2,394.3,496,Cash,Shipped,59876213,6,FREESHIP,Email,788.6
200082,2024-01-05 00:00:00,2024,1,65799,Tablet,4,565.2,971,Debit Card,Shipped,66906607,9,SAVE10,Google,2260.8
200083,2023-08-22 00:00:00,2023,8,15681,Laptop,4,540.41,989,Credit Card,Cancelled,75112172,6,No_Coupon,Referral,2161.64
200084,2023-08-28 00:00:00,2023,8,64160,Monitor,2,165.49,967,Online,Shipped,34121529,4,WINTER15,Instagram,330.98
200085,2024-09-09 00:00:00,2024,9,14553,Tablet,3,146.73,768,Cash,Delivered,93538334,8,FREESHIP,Email,440.19
200086,2024-06-19 00:00:00,2024,6,88205,Printer,5,643.03,447,Online,Cancelled,93504166,5,FREESHIP,Referral,3215.15
200087,2024-10-10 00:00:00,2024,10,91245,Tablet,3,225.11,915,Cash,Shipped,46976391,4,SAVE10,Facebook,675.33
200088,2025-06-05 00:00:00,2025,6,75439,Desk,3,114.81,318,Gift Card,Cancelled,19831653,7,No_Coupon,Google,344.43
200089,2025-02-25 00:00:00,2025,2,17181,Printer,5,455.33,291,Credit Card,Cancelled,78912978,8,FREESHIP,Google,2276.65
200090,2023-09-18 00:00:00,2023,9,36540,Chair,4,182.08,611,Gift Card,Delivered,35828122,4,SAVE10,Email,728.32
200091,2023-03-15 00:00:00,2023,3,98216,Laptop,5,492.75,196,Cash,Shipped,40986666,6,WINTER15,Referral,2463.75
200092,2024-06-10 00:00:00,2024,6,29568,Printer,4,48.61,203,Online,Shipped,46531075,7,FREESHIP,Facebook,194.44
